"Genetic ID (suffices: "".DG"" is a high coverage shotgun genome with diploid genotype calls; "".SG"" is a high coverage shotgun genome with diploid genotype calls; "".AG,  .TW, .BY, .AA, .EC, .WGC""  are Agilent 1240K or Twist Ancient DNA or ""Big Yoruba"" or ""Archaic Admixture"" or ""Exome"" or ""Whole-Genome Capture"" data respectively; each analyzed position is represented by a randomly chosen sequence allowing for combinations when merged (separable by readgroups if possible).  "".HO"" is Affymetrix Human Origins genotype data and ""REF"" is reference haploid data.",Persistent Genetic ID,Individual ID,Skeletal code,Skeletal element,"First publication: Abbreviation for earliest paper that reported data from this individual (this is not always the same as the data being analyzed, which may be from a different or improved dataset)",Publication abbreviation,doi for publication of this representation of the data,Link to the most permanent repository hosting these data,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990+-40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE","Age at death, Morphological sex from physical anthropology",Group ID,Locality,Political Entity,Latitude,Longitude,Pulldown Strategy,Suffices (indicating data types used for sources which can be a subset of that in bam),Data type,No. Libraries,Mean coverage on 1.15M autosomal targets for full bam (if no off-target entry not up-to-date),"Mean coverage on non-targeted autosomal SNPs for full bam - not yet computed if """".."""" and bam restricted to on-target SNPs if """"0""""",SNPs hit on autosomal targets (Computed using easystats on enhance 2M capture subset) ,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility_HO snpset),Molecular Sex,Family relations,Sum total of ROH segments >20cM,Sum total of ROH segments >20cM.1,Y haplogroup in terminal mutation notation automatically called based on Y-full 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup  in ISOGG notation automatically called based on Yfull 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup manually called if different from automatic,mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,"mtDNA match to consensus if >10x (merged data) [estimates are typically off by (uncorrected + power(10,-0.271*LOG(mt-coverage)-1.120)]",Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),ANGSD MOM 95% CI truncated at 0 (only if male and >=200 SNPs) [estimates are typically 0.005 too high],hapConX 95% CI truncated at 0 (only if male and >=2000 SNPs covered on X chromosome) [estimates are typically 0.005 too high],"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,endogenous by library (computed on shotgun data),ASSESSMENT,"ASSESSMENT WARNINGS: X contamination interval is listed if lower bound is >=0.005 for either ANGSD or hapConX, ""QUESTIONABLE"" if lower bound is 0.015-0.035 for hapConX (or ANGSD if no hapConX computation), ""CRITICAL"" or ""FAIL"" if lower bound is >0.03  for hapConX (or ANGSD if no hapConX computation) |mtcontam confidence interval is listed if coverage >10 and upper bound is <0.98, ""QUESTIONABLE"" if upper bound is 0.9-0.95; ""CRITICAL"" if upper bound is <0.9, QUESTIONABLE status gets overriden by ANGSD or hapConX if upper bound of contamination estimate is <0.01 | damage for ds.half is ""CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1 | sex.ratio is QUESTIONABLE if [0.03,0.1) or (0.30,0.32]; CRITICAL/FAIL if [0.1,0.3] | f4(All,Damage;CEU,CHB) for non-damage-restricted samples is ""CRITICAL/FAIL"" if |Z|>=3.5, QUESTIONABLE if 3.5>Z>=3.0, listed if Z>=2.0",subpopulation,date_CE
CL53.AG,69,CL53,CL53,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,0.39163109,0.01418931,482169,336670,175255,305060,81870,M,"1.0d siblings:CL47:CL53,1.0d father-son:CL49:CL53,2.5d:CL53:CL57",0,0,R-M269,R1b1a1b,..,3.72,H11a,n/a (<10x),0.1019,..,"[0,0.032]","[0,0.007]",ds.half,..,0.36761,Pass,..,Italian_Central_Med,600
CL57.AG,70,CL57,CL57,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,1.71774814,0.05847491,1187943,792075,415317,757534,194822,M,"2.5d:CL47:CL57,2.5d:CL53:CL57",0,0,R-BY48364,R1b1a1b1a,..,12.63,H24a,..,0.082,..,"[0,0.01]","[0.006,0.011]",ds.half,..,0.3388,Pass,..,Italian_Central_Med,600
CL63.AG,71,CL63,CL63,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,2.75764162,0.06872247,1284757,856827,450044,819374,211443,M,..,0,0,I-L121,I1,..,10.53,H,..,0.1285,..,"[0.003,0.013]","[0.003,0.007]",ds.half,..,0.3323,Pass,..,Italian_Central_Med,600
CL83.AG,72,CL83,CL83,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,1.20034868,0.06242361,1077402,716339,374409,691442,176767,F,"1.0d siblings:CL83:CL84,1.0d daughter-mother:CL83:CL87,2.5d:CL83:CL97,2.5d:CL102:CL83",0,0,n/a (female),n/a (female),n/a (female),15.3,H1,..,0.0781,..,n/a (female),n/a (female),ds.half,..,0.35373,Pass,..,Italian_Central_Med,600
CL84.AG,73,CL84,CL84,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,2.52022572,0.08518448,1255291,823647,434379,802811,204467,M,"1.0d siblings:CL83:CL84,1.0d son-mother:CL84:CL87,2.5d:CL102:CL84,2.5d:CL84:CL97",0,0,R-U198,R1b1a1b1a1a1c2a,..,15.43,H1t,..,0.0545,..,"[0,0.007]","[0.001,0.004]",ds.half,..,0.29929,Pass,..,Italian_Central_Med,600
CL87.AG,74,CL87,CL87,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,3.22608568,0.06943635,1321799,879568,462260,844697,217521,F,"1.0d son-mother:CL84:CL87,1.0d mother-daughter:CL102:CL87,1.0d daughter-mother:CL83:CL87",0,0,n/a (female),n/a (female),n/a (female),18.3,H1,..,0.1317,..,n/a (female),n/a (female),ds.half,..,0.35584,Pass,..,Italian_Central_Med,600
CL92.AG,75,CL92,CL92,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,1.88537587,0.03727485,1133814,763872,404659,719012,189704,M,"1.0d son-father:CL92:CL93,2.5d:CL145:CL92,2.5d:CL146:CL92",0,0,R-S17624,R1b1a1b1a1a,..,4.8,H,n/a (<10x),0.103,..,"[0.001,0.012]","[0.002,0.007]",ds.half,..,0.36811,Pass,..,Italian_Central_Med,600
CL93.AG,76,CL93,CL93,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,2.32712171,0.05451926,1188257,795244,419811,754785,196583,M,"1.0d son-father:CL92:CL93,2.5d:CL145:CL93,2.5d:CL146:CL93",0,0,R-S17624,R1b1a1b1a1a,..,7.41,J2b1a,n/a (<10x),0.1148,..,"[0.001,0.011]","[0.003,0.006]",ds.half,..,0.12424,Pass,..,Italian_Central_Med,600
CL94.AG,77,CL94,CL94,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,2.97721614,0.07371369,1320480,878236,459901,844591,216430,M,..,0,0,R-DF99,R1b1a1b1a1a2f,..,10.67,K1c1,..,0.1082,..,"[0.001,0.01]","[0.004,0.007]",ds.half,..,0.29548,Pass,..,Italian_Central_Med,600
CL97.AG,78,CL97,CL97,..,AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI.sequence.read.archive.(SRA).database.under.accession.#.SRP132561.(1240.capture.data).&.SRP132581.(WGS.data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,0.1501696,0.00497534,138930,94344,49057,88725,23178,M,"2.5d:CL84:CL97,2.5d:CL83:CL97",n/a (<300K SNPs),n/a (<300K SNPs),R,R,..,0.39,n/a (<2x),n/a (<10x),0.0804,..,..,n/a (<2000 X SNPs),ds.half,..,0.35181,Pass,..,Italian_Central_Med,600
