"Genetic ID (suffices: "".DG"" is a high coverage shotgun genome with diploid genotype calls; "".SG"" is a high coverage shotgun genome with diploid genotype calls; "".AG,  .TW, .BY, .AA, .EC, .WGC""  are Agilent 1240K or Twist Ancient DNA or ""Big Yoruba"" or ""Archaic Admixture"" or ""Exome"" or ""Whole-Genome Capture"" data respectively; each analyzed position is represented by a randomly chosen sequence allowing for combinations when merged (separable by readgroups if possible).  "".HO"" is Affymetrix Human Origins genotype data and ""REF"" is reference haploid data.",Persistent Genetic ID,Individual ID,Skeletal code,Skeletal element,"First publication: Abbreviation for earliest paper that reported data from this individual (this is not always the same as the data being analyzed, which may be from a different or improved dataset)",Publication abbreviation,doi for publication of this representation of the data,Link to the most permanent repository hosting these data,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990+-40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE","Age at death, Morphological sex from physical anthropology",Group ID,Locality,Political Entity,Latitude,Longitude,Pulldown Strategy,Suffices (indicating data types used for sources which can be a subset of that in bam),Data type,No. Libraries,Mean coverage on 1.15M autosomal targets for full bam (if no off-target entry not up-to-date),"Mean coverage on non-targeted autosomal SNPs for full bam - not yet computed if """".."""" and bam restricted to on-target SNPs if """"0""""",SNPs hit on autosomal targets (Computed using easystats on enhance 2M capture subset) ,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility_HO snpset),Molecular Sex,Family relations,Sum total of ROH segments >20cM,Sum total of ROH segments >20cM.1,Y haplogroup in terminal mutation notation automatically called based on Y-full 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup  in ISOGG notation automatically called based on Yfull 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup manually called if different from automatic,mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,"mtDNA match to consensus if >10x (merged data) [estimates are typically off by (uncorrected + power(10,-0.271*LOG(mt-coverage)-1.120)]",Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),ANGSD MOM 95% CI truncated at 0 (only if male and >=200 SNPs) [estimates are typically 0.005 too high],hapConX 95% CI truncated at 0 (only if male and >=2000 SNPs covered on X chromosome) [estimates are typically 0.005 too high],"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,endogenous by library (computed on shotgun data),ASSESSMENT,"ASSESSMENT WARNINGS: X contamination interval is listed if lower bound is >=0.005 for either ANGSD or hapConX, ""QUESTIONABLE"" if lower bound is 0.015-0.035 for hapConX (or ANGSD if no hapConX computation), ""CRITICAL"" or ""FAIL"" if lower bound is >0.03  for hapConX (or ANGSD if no hapConX computation) |mtcontam confidence interval is listed if coverage >10 and upper bound is <0.98, ""QUESTIONABLE"" if upper bound is 0.9-0.95; ""CRITICAL"" if upper bound is <0.9, QUESTIONABLE status gets overriden by ANGSD or hapConX if upper bound of contamination estimate is <0.01 | damage for ds.half is ""CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1 | sex.ratio is QUESTIONABLE if [0.03,0.1) or (0.30,0.32]; CRITICAL/FAIL if [0.1,0.3] | f4(All,Damage;CEU,CHB) for non-damage-restricted samples is ""CRITICAL/FAIL"" if |Z|>=3.5, QUESTIONABLE if 3.5>Z>=3.0, listed if Z>=2.0",subpopulation,date_CE
I3982.AG,2195,I3982,34 (Tumba 7),tooth,OlaldeReichScience2019,OlaldeReichScience2019,https://doi.org/10.1126/science.aav4040,ENA:PRJEB30874,Context: Archaeological,1650,58.0,200-400 CE,..,Spain_LateAntiquity_ImperialRoman,"Plaza Einstein (Andalusia, Granada)",Spain,37.177501,-3.609167,Native Pulldown on 3.2M snpset,AG,1240k,2,1.85308251,0.06534666,1237028,823324,431335,790014,202858,F,..,0,0,n/a (female),n/a (female),n/a (female),9.815137,HV0+195,n/a (<10x),..,..,n/a (female),n/a (female),"ds.half,ds.half","S3982.E1.L1,S3982.E1.L3","0.017,0.055",Pass,..,Western_European,300
I3983.AG,2196,I3983,35 (Tumba 19),tooth,OlaldeReichScience2019,OlaldeReichScience2019,https://doi.org/10.1126/science.aav4040,ENA:PRJEB30874,Direct: IntCal20,1550,50.0,"261-531 calCE (1660±25 BP, PSUAMS-2081)",..,Spain_LateAntiquity_ImperialRoman-oAfrica,"Plaza Einstein (Andalusia, Granada)",Spain,37.177501,-3.609167,Native Pulldown on 3.2M snpset,AG,1240k,1,2.08211437,0.03818533,1001595,663060,353128,632304,164917,M,1.0d brothers:I3983:I4054,0,0,J-M67,J2a1a1a2b2,..,76,H4a1c2,"[0.960,0.977]",0.315,0.441,"[0.001,0.011]","[0.008,0.015]",ds.half,S3983.E1.L1,0.086,Pass,"mtcontam=[0.96,0.977], hapConX=[0.008,0.015]",Western_European,400
I4030.AG,2204,I4030,YH42653; OP 23-21-134; 1994 (GDN134),tooth,LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Context: Historical,2126,101.0,350-1 BCE,..,Turkey_Ancient,"Gordion (Central, Ankara)",Turkey,39.65248,31.996659,Native Pulldown on 3.2M snpset,AG,1240k,5,1.58362875,0.07974149,1200576,801716,421221,766968,198464,M,..,0,0,J-Y29678,J2a2a1a~,..,666.221015,H20,"[0.955,0.989]",..,..,"[0,0.007]","[0.003,0.007]","ds.minus,ds.half,ds.half,ds.half,ds.half","S4030.E1.L1,S4030.E1.L2,S4030.E1.L3,S4030.E1.L4,S4030.E1.L5","0.015,0.022,0.023,0.031,0.022",Pass,..,Eastern_Med,-176
I4055.AG,2205,I4055,38,tooth,OlaldeReichScience2019,OlaldeReichScience2019,https://doi.org/10.1126/science.aav4040,ENA:PRJEB30874,Context: Archaeological,1650,58.0,200-400 CE,..,Spain_LateAntiquity_ImperialRoman,"Plaza Einstein (Andalusia, Granada)",Spain,37.177501,-3.609167,Native Pulldown on 3.2M snpset,AG,1240k,3,0.05472438,0.00212279,84215,58525,30663,52286,14323,M,..,n/a (<300K SNPs),n/a (<300K SNPs),T-L206,T,..,249.885087,U3a1,"[0.997,1]",..,..,..,n/a (<2000 X SNPs),"ds.half,ds.half,ds.half","S4055.E1.L1,S4055.E1.L2,S4055.E1.L3","0.0017,0.0049,0.0040",Pass,..,Western_European,300
I4472.AG,2279,I4472,Chamber 1: Individual 1 CE (CE-Chamber 1),petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Context: Historical,2126,101.0,350-1 BCE,adult,Turkey_Ancient-1,"Cedit (Samsun, İlkadım)",Turkey,41.313,36.33,Native Pulldown on 3.2M snpset,AG,1240k,1,4.42849321,0.08957899,1229349,797461,426000,784148,200002,F,..,0,0,n/a (female),n/a (female),n/a (female),235,N1a3,"[0.991,0.998]",0.086,0.008,n/a (female),n/a (female),ds.half,S4472.E1.L1,0.777,Pass,..,Eastern_Med,-176
I4473.AG,2280,I4473,"Chamber 1: Individual 2, CE (CE-Chamber 1)",petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Context: Historical,2126,101.0,350-1 BCE,adult,Turkey_Ancient-2,"Cedit (Samsun, İlkadım)",Turkey,41.313,36.33,Native Pulldown on 3.2M snpset,AG,1240k,1,4.88861667,0.09112689,1242257,804450,429971,793305,202179,F,..,0,0,n/a (female),n/a (female),n/a (female),510,H,"[0.992,0.999]",0.082,0.012,n/a (female),n/a (female),ds.half,S4473.E1.L1,0.705,Pass,..,Eastern_Med,-176
I4474.AG,2281,I4474,D5 (necropolis underground chamber),petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,1308,16.0,"605-665 calCE (1395±20 BP, PSUAMS-4210)",adult,Turkey_LateAntiquity_Byzantine,"Dara (Mardin, Artuklu)",Turkey,37.177,40.952,Native Pulldown on 3.2M snpset,AG,1240k,1,3.89630805,0.05504053,1190486,784508,416782,756538,195341,M,..,0,0,J-YP879,J2a1a1a2a1a2~,..,213,U3a,"[0.979,0.989]",0.09,0.431,"[0.005,0.014]","[0.007,0.01]",ds.half,S4474.E1.L1,0.406,Pass,"ANGSD=[0.005,0.014], hapConX=[0.007,0.01]",Eastern_Med,642
I4529.AG,2297,I4529,"Chamber 1: Individual 3, CE",petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,1716,27.0,"203-319 calCE (1820±15 BP, PSUAMS-3109)",adult,Turkey_LateAntiquity_ImperialRoman,"Cedit (Samsun, İlkadım)",Turkey,41.313,36.33,Native Pulldown on 3.2M snpset,AG,1240k,1,4.75828214,0.10327086,1204145,777051,416780,768814,195852,M,..,0,0,R-Y91288,R1b1a1a1b,..,306,D4e1,"[0.988,0.995]",0.086,0.429,"[0.004,0.009]","[0.004,0.007]",ds.half,S4529.E1.L1,0.789,Pass,..,Eastern_Med,234
I4530.AG,2298,I4530,"Chamber 1: Individual 4, CE",petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,1648,34.0,"241-362 calCE (1755±20 BP, PSUAMS-4141)",adult,Turkey_LateAntiquity_ImperialRoman-1,"Cedit (Samsun, İlkadım)",Turkey,41.313,36.33,Native Pulldown on 3.2M snpset,AG,1240k,1,4.69123591,0.09741086,1199473,774633,415479,764833,195030,M,..,0,0,T-CTS8489,T1a2b1a1,..,330,U3a2a1,"[0.993,0.999]",0.087,0.429,"[0.003,0.008]","[0.004,0.007]",ds.half,S4530.E1.L1,0.82,Pass,..,Eastern_Med,302
I4531.AG,2299,I4531,"Chamber 1: Individual 5, CE",petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,1665,32.0,"227-337 calCE (1785±20 BP, PSUAMS-4222)",adult,Turkey_LateAntiquity_ImperialRoman,"Cedit (Samsun, İlkadım)",Turkey,41.313,36.33,Native Pulldown on 3.2M snpset,AG,1240k,1,4.74111602,0.11235277,1210175,780176,418127,772248,196300,M,..,0,0,R-YP5844,R1a1a1b2a2a3~,..,293,U7b,"[0.985,0.993]",0.081,0.427,"[0.002,0.007]","[0.004,0.006]",ds.half,S4531.E1.L1,0.829,Pass,..,Eastern_Med,285
I4613.AG,2337,I4613,Chamber A: G10,petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Context: Archaeological,1350,58.0,500-700 CE,adult,Turkey_LateAntiquity_Byzantine,"Aktaş-Mevki (Mardin, Midyat)",Turkey,37.415,41.373,Native Pulldown on 3.2M snpset,AG,1240k,1,4.91536355,0.10912391,1230557,794238,425638,785622,199883,F,..,0,0,n/a (female),n/a (female),n/a (female),447,X2+225+@153,"[0.995,1.000]",0.062,0.014,n/a (female),n/a (female),ds.half,S4613.E1.L1,0.72,Pass,..,Eastern_Med,600
I4798.AG,2396,I4798,3 Motya - Archaic Necropolis - T.246,petrous (cochlea),RingbauerReichNature2025,RingbauerReichNature2025,https://doi.org/10.1038/s41586-025-08913-3 ,ENA:PRJEB86313,Direct: IntCal20,2442,76.0,"723-404 calBCE (2415±20 BP, PSUAMS-5506)",..,Italy_Sicily_IA_a_IA_b_Punic,"Motya (Mozia) (Sicily, Trapani, Marsala, San Pantaleo Island)",Italy,37.5353,12.2637,Native Pulldown on 3.2M snpset,AG,1240k,1,4.98231244,0.06577757,1296507,843832,446552,830767,210622,M,..,0,0,J-L283,J2b2a1,..,338,I6,"[0.995,0.999]",0.093,0.422,"[0.001,0.004]","[0.003,0.005]",ds.half,S4798.E1.L1,0.301,Pass,..,Italian_Central_Med,-492
I4799.AG,2397,I4799,4 Motya - Archaic Necropolis - T.266,petrous (cochlea),RingbauerReichNature2025,RingbauerReichNature2025,https://doi.org/10.1038/s41586-025-08913-3 ,ENA:PRJEB86313,Direct: IntCal20,2442,76.0,"723-404 calBCE (2415±20 BP, PSUAMS-5507)",..,Italy_Sicily_IA_a_IA_b_Punic,"Motya (Mozia) (Sicily, Trapani, Marsala, San Pantaleo Island)",Italy,37.5353,12.2637,Native Pulldown on 3.2M snpset,AG,1240k,1,5.35591702,0.08118515,1306483,848586,448782,838021,211621,F,..,0,0,n/a (female),n/a (female),n/a (female),204,X2m,"[0.988,0.996]",0.099,0.01,n/a (female),n/a (female),ds.half,S4799.E1.L1,0.323,Pass,..,Italian_Central_Med,-492
I5255.AG,2586,I5255,Chamber D: indiv.1,tooth,LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,2197,75.0,"355-114 calBCE (2165±20 BP, PSUAMS-6702)",adult (middle); 30-35 yrs,Turkey_Ancient,"Aktaş-Mevki (Mardin, Midyat)",Turkey,37.415,41.373,Native Pulldown on 3.2M snpset,AG,1240k,1,0.05277937,0.00112494,81291,56473,29379,50764,13510,F,..,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),22.6,HV1a1b,"[0.966,0.986]",0.092,0.013,n/a (female),n/a (female),ds.half,S5255.E1.L2,0.0028,Pass,..,Eastern_Med,-247
I5723.AG,2655,I5723,"CRO1; Grob 1; Sonda 1 (Grob 1, Sonda 1)",petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,2374,33.0,"514-391 calBCE (2365±20 BP, PSUAMS-3179)",..,Croatia_EIA,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",Croatia,45.900833,15.700288,Native Pulldown on 3.2M snpset,AG,1240k,1,5.7532093,0.06725101,1107657,712634,381076,708786,179679,M,..,20.890501,20.890501,J-FT184881,J2b2a1b~,..,164.354216,HV1a'b'c,"[0.973,0.99]",0.104,..,"[0.002,0.01]","[0.005,0.008]",ds.half,S5723.E1.L1,0.851,Pass,..,Italian_Central_Med,-424
I5724.AG,2656,I5724,"CRO2; Grob 3; Sonda D (Grob 3, Sonda D)",petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,2232,53.0,"382-206 calBCE (2235±20 BP, PSUAMS-3094)",..,Croatia_EIA,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",Croatia,45.900833,15.700288,Native Pulldown on 3.2M snpset,AG,1240k,1,5.38464193,0.06824092,1068078,687267,367585,682538,172993,M,..,0,0,E-Y16721,E1b1b1a1b1a14~,..,172.828294,U5b1d1a,"[0.972,0.989]",0.09,..,"[0.001,0.009]","[0.007,0.01]",ds.half,S5724.E1.L1,0.78,Pass,..,Italian_Central_Med,-282
I5726.AG,2658,I5726,"CRO4; Grob 9; Sonda 1 (Grob 9, Sonda 1)",petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,2407,49.0,"538-399 calBCE (2390±20 BP, PSUAMS-2868)",..,Croatia_EIA,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",Croatia,45.900833,15.700288,Native Pulldown on 3.2M snpset,AG,1240k,1,5.47919808,0.04751546,983658,634544,338799,627198,159331,F,..,0,0,n/a (female),n/a (female),n/a (female),148.654837,T1a2a,"[0.989,0.998]",0.126,..,n/a (female),n/a (female),ds.half,S5726.E1.L1,0.642,Pass,..,Italian_Central_Med,-457
I5728.AG,2660,I5728,CRO6; Grob 11,petrous (cochlea),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,2224,48.0,"361-200 calBCE (2210±15 BP, PSUAMS-2870)",..,Croatia_EIA,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",Croatia,45.900833,15.700288,Native Pulldown on 3.2M snpset,AG,1240k,1,5.44446868,0.04395398,978286,631755,337374,623591,158632,F,..,0,0,n/a (female),n/a (female),n/a (female),135.876456,T1a5,"[0.988,0.998]",0.129,..,n/a (female),n/a (female),ds.half,S5728.E1.L1,0.713,Pass,..,Italian_Central_Med,-274
I6490.AG,2839,I6490,MGA'92-Resta II,tooth,OlaldeReichScience2019,OlaldeReichScience2019,https://doi.org/10.1126/science.aav4040,ENA:PRJEB30874,Context: Archaeological,1600,87.0,200-500 CE,..,Spain_LateAntiquity_ImperialRoman-oLocal,"Mas Gassol (Catalonia, Tarragona, Alcover)",Spain,41.274,1.178,Native Pulldown on 3.2M snpset,AG,1240k,1,0.08630422,0.00291412,132594,91025,47629,83488,22257,F,..,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),132,K1c2,"[0.996,1.000]",0.078,0.012,n/a (female),n/a (female),ds.half,S6490.E1.L1,0.009,Pass,..,Western_European,350
I6491.AG,2840,I6491,MGA'92-Resta III,tooth,OlaldeReichScience2019,OlaldeReichScience2019,https://doi.org/10.1126/science.aav4040,ENA:PRJEB30874,Context: Archaeological,1600,87.0,200-500 CE,..,Spain_LateAntiquity_ImperialRoman,"Mas Gassol (Catalonia, Tarragona, Alcover)",Spain,41.274,1.178,Native Pulldown on 3.2M snpset,AG,1240k,1,0.01938227,0.00043389,29641,20836,10731,18454,4974,M,..,n/a (<300K SNPs),n/a (<300K SNPs),BT,BT,..,7.524292,H4a1a,n/a (<10x),..,..,..,n/a (<2000 X SNPs),ds.half,S6491.E1.L1,0.0062,Pass,..,Western_European,350
I6492.AG,2841,I6492,MGA'92 UE 105,tooth,OlaldeReichScience2019,OlaldeReichScience2019,https://doi.org/10.1126/science.aav4040,ENA:PRJEB30874,Context: Archaeological,1600,87.0,200-500 CE,..,Spain_LateAntiquity_ImperialRoman,"Mas Gassol (Catalonia, Tarragona, Alcover)",Spain,41.274,1.178,Native Pulldown on 3.2M snpset,AG,1240k,1,0.00846225,0.00016283,13269,9228,4734,8247,2159,M,..,n/a (<300K SNPs),n/a (<300K SNPs),..,..,..,32.9,T2b11,"[0.996,1.000]",0.071,0.416,..,n/a (<2000 X SNPs),ds.half,S6492.E1.L1,0.0027,Pass,..,Western_European,350
I6573.AG,2877,I6573,GDN31,tooth,LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Context: Historical,2126,101.0,350-1 BCE,..,Turkey_Ancient,"Gordion (Central, Ankara)",Turkey,39.65248,31.996659,Native Pulldown on 3.2M snpset,AG,1240k,1,0.71017582,0.02802217,768935,522043,272852,488270,128026,F,..,0,0,n/a (female),n/a (female),n/a (female),145,HV2a2,"[0.992,0.998]",0.077,0.007,n/a (female),n/a (female),ds.half,S6573.E1.L1,0.128,Pass,..,Eastern_Med,-176
I6574.AG,2878,I6574,GDN145,bone (phalanx),LazaridisReichScience2022,LazaridisReichScience2022,https://doi.org/10.1126/science.abm4247,ENA:PRJEB54831,Direct: IntCal20,1747,34.0,"129-244 calCE (1840±20 BP, PSUAMS-14612)",..,Turkey_ImperialRoman,"Gordion (Central, Ankara)",Turkey,39.65248,31.996659,Native Pulldown on 3.2M snpset,AG,1240k,1,0.78563737,0.02587952,803897,537968,284948,508839,133269,F,..,0,0,n/a (female),n/a (female),n/a (female),96.1,W3a1,"[0.995,0.999]",0.042,0.011,n/a (female),n/a (female),ds.half,S6574.E1.L1,0.06,Pass,..,Eastern_Med,203
I7158.AG,3206,I7158,MGA'92 UE 108,tooth,OlaldeReichScience2019,OlaldeReichScience2019,https://doi.org/10.1126/science.aav4040,ENA:PRJEB30874,Context: Archaeological,1600,87.0,200-500 CE,..,Spain_LateAntiquity_ImperialRoman,"Mas Gassol (Catalonia, Tarragona, Alcover)",Spain,41.274,1.178,Native Pulldown on 3.2M snpset,AG,1240k,1,0.0049529,0.00030084,7929,5487,2984,4845,1347,M,..,n/a (<300K SNPs),n/a (<300K SNPs),..,..,..,5.47,T2b,n/a (<10x),0.01,0.491,..,..,ds.half,S7158.E1.L1,0.0055,Pass,damage.ds.half=0.01,Western_European,350
I7217.AG,3245,I7217,HIMR_W2590,petrous (cochlea),ReitsemaReichPNAS2022,ReitsemaReichPNAS2022,https://doi.org/10.1073/pnas.2205272119,ENA:PRJEB55842,Known: 480 BCE battle,2430,0.0,480 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,AG,1240k,1,1.48000024,0.05588249,1042417,705273,374559,656388,174498,M,..,0,0,LT,LT,..,117,H5,"[0.991,1.000]",0.124,0.421,"[0.002,0.011]","[0.002,0.007]",ds.half,S7217.E1.L1,0.221,Pass,..,Italian_Central_Med,-480
I7218.AG,3246,I7218,HIMR_W2737,petrous (cochlea),ReitsemaReichPNAS2022,ReitsemaReichPNAS2022,https://doi.org/10.1073/pnas.2205272119,ENA:PRJEB55842,Known: 480 BCE battle,2430,0.0,480 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,AG,1240k,1,2.06254003,0.06772462,1146602,772645,409307,724154,191060,M,..,0,0,T-S27463,T1a2b1,..,126,H5+709,"[0.991,1.000]",0.119,0.417,"[0.002,0.008]","[0.003,0.007]",ds.half,S7218.E1.L1,0.327,Pass,..,Italian_Central_Med,-480
I7219.AG,3247,I7219,HIMR_W2764,petrous (cochlea),ReitsemaReichPNAS2022,ReitsemaReichPNAS2022,https://doi.org/10.1073/pnas.2205272119,ENA:PRJEB55842,"Known: 480 BCE battle (use this in preference to the earlier date of 761-479 calBCE (2470�20 BP, PSUAMS-4213) calibrated as IntCal20)",2430,0.0,480 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,AG,1240k,1,3.68992881,0.1013119,1244350,822460,437777,789865,204945,M,..,0,0,G-P303,G2a2b2a,..,185,J1c2,"[0.994,1.000]",0.128,0.421,"[0.003,0.008]","[0.004,0.007]",ds.half,S7219.E1.L1,0.6376,Pass,"library with technical problems: S7219.E1.L1, hapConX=[0.004,0.007]",Italian_Central_Med,-480
I7221.AG,3248,I7221,HIMR_W2825,petrous (cochlea),ReitsemaReichPNAS2022,ReitsemaReichPNAS2022,https://doi.org/10.1073/pnas.2205272119,ENA:PRJEB55842,"Known: 480 BCE battle (use this in preference to the direct radiocarbon date of 734-408 calBCE (2425�20 BP, PSUAMS-4237) calibrated as IntCal20)",2430,0.0,480 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,AG,1240k,1,3.86879464,0.10518415,1285492,851803,451516,818171,211777,M,..,0,0,G-Y216605,G2a2a1a2b1b,..,180,K1a4j1,"[0.993,1.000]",0.122,0.418,"[0.006,0.011]","[0.007,0.011]",ds.half,S7221.E1.L1,0.723,Pass,"ANGSD=[0.006,0.011], hapConX=[0.007,0.011]",Italian_Central_Med,-480
I7223.AG,3250,I7223,HIMR_W4378,petrous (cochlea),ReitsemaReichPNAS2022,ReitsemaReichPNAS2022,https://doi.org/10.1073/pnas.2205272119,ENA:PRJEB55842,"Known: 480 BCE battle (use this in preference to the earlier date of 761-479 calBCE (2470�20 BP, PSUAMS-4027) calibrated as IntCal20)",2359,0.0,409 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,AG,1240k,1,3.53463337,0.10817273,1253235,833363,441474,796197,206526,M,..,0,0,J-FGC45722,J2a1a1a2b2a2b1,..,225,U5a1g1,"[0.990,0.998]",0.141,0.416,"[0.005,0.011]","[0.006,0.01]",ds.half,S7223.E1.L1,0.804,Pass,"ANGSD=[0.005,0.011], hapConX=[0.006,0.01]",Italian_Central_Med,-409
I7224.AG,3251,I7224,HIMR_W4651,petrous (cochlea),ReitsemaReichPNAS2022,ReitsemaReichPNAS2022,https://doi.org/10.1073/pnas.2205272119,ENA:PRJEB55842,"Known: 480 BCE battle (use this in preference to the earlier date of 771-541 calBCE (2490�20 BP, PSUAMS-4348) calibrated as IntCal20)",2359,0.0,409 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,AG,1240k,1,3.68325687,0.10826904,1267148,841405,445213,804882,208127,M,..,0,0,T-FT39851,T1a2b1,..,251,U1a1a,"[0.993,0.999]",0.142,0.418,"[0.005,0.01]","[0.006,0.009]",ds.half,S7224.E1.L1,0.772,Pass,"ANGSD=[0.005,0.01], hapConX=[0.006,0.009]",Italian_Central_Med,-409
I7225.AG,3252,I7225,HIMR_W4670,petrous (cochlea),ReitsemaReichPNAS2022,ReitsemaReichPNAS2022,https://doi.org/10.1073/pnas.2205272119,ENA:PRJEB55842,"Known: 480 BCE battle (use this in preference to the earlier date of 761-479 calBCE (2470�20 BP, PSUAMS-3999) calibrated as IntCal20)",2359,0.0,409 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,AG,1240k,1,3.09019076,0.08994338,1252493,833142,441708,795091,207013,M,..,0,0,R-L2,R1b1a1b1a1a2b1,..,164,K1a4,"[0.993,0.999]",0.121,0.421,"[0.004,0.01]","[0.008,0.012]",ds.half,S7225.E1.L1,0.372,Pass,..,Italian_Central_Med,-409
I7258.AG,3258,I7258,"9, T4",petrous (cochlea),RingbauerReichNature2025,RingbauerReichNature2025,https://doi.org/10.1038/s41586-025-08913-3 ,ENA:PRJEB86313,Context: Archaeological,2300,87.0,500-200 BCE,male,Italy_Sicily_IA_b_IA_c_Punic_possible,"Lilybaeum-Crispia Salvia Tomb (Sicily, Trapani, Marsala)",Italy,37.804387,12.437169,Native Pulldown on 3.2M snpset,AG,1240k,1,0.01818207,0.00141685,29304,19995,10710,18609,5062,U,..,n/a (<300K SNPs),n/a (<300K SNPs),n/a (sex unknown),n/a (sex unknown),n/a (sex unknown),1.914781,n/a (<2x),n/a (<10x),0.003,0.102,n/a (unknown sex),n/a (unknown sex),ds.half,S7258.E1.L1,0.0051,CRITICAL,"sex.ratio=0.102, damage.ds.half=0.003",Italian_Central_Med,-350
